Student Number,Primary Last Name,Primary First Name,Primary Middle Name,Preferred First Name,Email Address,Mailing Address,Phone Number
300000049,Johnson,Deborah,,Deborah,djohnson@sfu.ca,"2230 Willow St, Chilliwack BC VP0 1H2 Canada",778/691-5962
300000050,Lopez,Thomas,,Thomas,tlopez@sfu.ca,"5615 Granville St, Mission BC VS8 8H6 Canada",778/474-3126
300000051,Hernandez,Jennifer,,Jennifer,jhernandez@sfu.ca,"8523 123 Ave, Vancouver BC VN4 0V8 Canada",778/794-1113
300000052,Garcia,William,,William,wgarcia@sfu.ca,"1220 University Crescent, Mission BC VY9 5T2 Canada",778/479-9237
300000053,Morris,Robert,,Robert,rmorris@sfu.ca,"3913 Broadway, Surrey BC VH6 7I9 Canada",778/789-1852
300000054,White,Edward,,Edward,ewhite@sfu.ca,"5126 Willow St, Brackendale BC VF2 5Z3 Canada",778/428-5864
300000055,Torres,Thomas,,Thomas,ttorres@sfu.ca,"4834 Pine Rd, Mission BC VD5 1W8 Canada",778/107-6482
300000056,Smith,Paul,,Paul,psmith@sfu.ca,"4229 University Crescent, Port Moody BC VX5 7B2 Canada",778/213-1651
300000057,Jackson,Margaret,,Margaret,mjackson@sfu.ca,"512 Ash St, Mission BC VL3 9I9 Canada",778/532-3876
300000058,Torres,Nancy,,Nancy,ntorres@sfu.ca,"9609 Spruce Dr, Abbotsford BC VV4 8E5 Canada",778/165-7816
300000059,Gonzalez,Michael,,Michael,mgonzalez@sfu.ca,"8092 Broadway, Vancouver BC VC0 5M0 Canada",778/378-8095
300000060,Morales,Mary,,Mary,mmorales@sfu.ca,"5607 Broadway, Maple Ridge BC VB5 5S4 Canada",778/977-9314
300000061,Perez,Michael,,Michael,mperez@sfu.ca,"3699 Ash St, Abbotsford BC VC0 0D1 Canada",778/303-7093
300000062,Evans,Edward,,Edward,eevans@sfu.ca,"6064 Pine Rd, Maple Ridge BC VQ2 2L0 Canada",778/428-1605
300000063,Thompson,James,,James,jthompson@sfu.ca,"4456 Maple Place, Port Moody BC VM5 5Q7 Canada",778/988-5191
300000064,Smith,Kevin,,Kevin,ksmith@sfu.ca,"8057 Maple Place, Burnaby BC VC2 8X5 Canada",778/541-3374
300000065,Harris,Richard,,Richard,rharris@sfu.ca,"9149 Granville St, Mission BC VV2 6U8 Canada",778/976-8062
300000066,Reeves,Christopher,,Christopher,creeves@sfu.ca,"7742 123 Ave, New Westminster BC VN2 6O8 Canada",778/642-9667
300000067,Lewis,Emily,,Emily,elewis@sfu.ca,"6194 Ash Ave, New Westminster BC VM5 5D7 Canada",778/317-4493
300000068,Gonzalez,Daniel,,Daniel,dgonzalez@sfu.ca,"243 Cedar Ln, New Westminster BC VQ0 2J3 Canada",778/136-6022
300000069,Martinez,John,,John,jmartinez@sfu.ca,"4460 Oak Dr, Port Moody BC VH9 5P0 Canada",778/716-6571
300000070,Rodriguez,Ronald,,Ronald,rrodriguez@sfu.ca,"3396 Ash Ave, Langley BC VP0 3R4 Canada",778/904-5469
300000071,White,Elizabeth,,Elizabeth,ewhite@sfu.ca,"2276 Willow St, Langley BC VP7 8Z5 Canada",778/687-8930
300000072,Jones,David,,David,djones@sfu.ca,"2509 Kingsway, Brackendale BC VJ9 8E5 Canada",778/583-9303
300000073,Peterson,Amanda,,Amanda,apeterson@sfu.ca,"4038 Ash Ave, Vancouver BC VI0 6W5 Canada",778/313-2640
300000074,King,Mark,,Mark,mking@sfu.ca,"7434 Spruce Dr, Surrey BC VB8 8Y1 Canada",778/991-8786
300000075,Garcia,Joshua,,Joshua,jgarcia@sfu.ca,"634 Kingsway, Pitt Meadows BC VD7 3G5 Canada",778/253-5142
300000076,Brown,Jennifer,,Jennifer,jbrown@sfu.ca,"7945 Granville St, Mission BC VH1 8H3 Canada",778/646-8885
300000077,Williams,David,,David,dwilliams@sfu.ca,"6096 Willow St, Mission BC VT1 4D3 Canada",778/636-2039
300000078,Jones,Jessica,,Jessica,jjones@sfu.ca,"1446 Pine Rd, Surrey BC VE5 1V9 Canada",778/434-6597
300000079,Phillips,Christopher,,Christopher,cphillips@sfu.ca,"5408 Granville St, New Westminster BC VE8 4J1 Canada",778/335-3521
300000080,Davis,Daniel,,Daniel,ddavis@sfu.ca,"7735 Cedar Ln, Pitt Meadows BC VI6 3D6 Canada",778/429-4221
300000081,Smith,Edward,,Edward,esmith@sfu.ca,"3106 Ash St, Vancouver BC VX3 2W8 Canada",778/133-5055
300000082,Lewis,Anthony,,Anthony,alewis@sfu.ca,"1141 Granville St, New Westminster BC VG6 4O4 Canada",778/781-7879
300000083,Cook,Stephanie,,Stephanie,scook@sfu.ca,"6203 Spruce Dr, Burnaby BC VG4 2U2 Canada",778/594-8425
300000084,Garcia,Thomas,,Thomas,tgarcia@sfu.ca,"5442 Elm Street, Brackendale BC VE4 6D3 Canada",778/814-5020
300000085,Davis,Mark,,Mark,mdavis@sfu.ca,"2231 Main St, Abbotsford BC VP9 6Z9 Canada",778/354-8876
300000086,Collins,Joshua,,Joshua,jcollins@sfu.ca,"4241 123 Ave, Pitt Meadows BC VY5 4M1 Canada",778/171-1666
300000087,Garcia,Jessica,,Jessica,jgarcia@sfu.ca,"6350 Main St, Burnaby BC VM9 6I4 Canada",778/788-4579
300000088,Brown,Ronald,,Ronald,rbrown@sfu.ca,"4479 Pine Rd, Coquitlam BC VA8 7T5 Canada",778/571-6374
300000089,Wilson,Elizabeth,,Elizabeth,ewilson@sfu.ca,"8318 Oak Dr, Mission BC VG5 6F3 Canada",778/776-3081
300000090,Smith,Dorothy,,Dorothy,dsmith@sfu.ca,"1129 Elm Street, New Westminster BC VU0 9S6 Canada",778/819-4629
300000091,Jones,Ronald,,Ronald,rjones@sfu.ca,"4171 Kingsway, New Westminster BC VT5 5L1 Canada",778/191-3642
300000092,Robinson,Joshua,,Joshua,jrobinson@sfu.ca,"4814 Elm Street, Mission BC VN2 0O8 Canada",778/858-8037
300000093,Campbell,Ronald,,Ronald,rcampbell@sfu.ca,"8824 Kingsway, Pitt Meadows BC VB6 8I4 Canada",778/678-5301
300000094,Edwards,Barbara,,Barbara,bedwards@sfu.ca,"6774 Granville St, Mission BC VM0 9G2 Canada",778/847-6525
300000095,Morales,Betty,,Betty,bmorales@sfu.ca,"8344 Granville St, Chilliwack BC VN2 2K6 Canada",778/438-9343
300000096,Wright,Melissa,,Melissa,mwright@sfu.ca,"5166 Maple Place, Pitt Meadows BC VT8 6T7 Canada",778/531-3793
300000097,Thomas,Edward,,Edward,ethomas@sfu.ca,"8419 Ash St, Mission BC VT0 1G1 Canada",778/193-7691
300000098,Reeves,Jennifer,,Jennifer,jreeves@sfu.ca,"2901 Granville St, Coquitlam BC VC9 5K0 Canada",778/920-6978
300000099,King,Donna,,Donna,dking@sfu.ca,"3668 Oak Dr, New Westminster BC VM4 8C9 Canada",778/990-7695
300000100,Phillips,Joseph,,Joseph,jphillips@sfu.ca,"8303 Cedar Ln, New Westminster BC VD9 0O5 Canada",778/682-1914
300000101,Rodriguez,Amanda,,Amanda,arodriguez@sfu.ca,"6759 Pine Rd, Richmond BC VD1 9E3 Canada",778/345-5838
300000102,Campbell,Edward,,Edward,ecampbell@sfu.ca,"8448 Elm Street, Surrey BC VH6 8N1 Canada",778/608-5981
300000103,Cook,Richard,,Richard,rcook@sfu.ca,"8186 Pine Rd, Abbotsford BC VX0 0Z9 Canada",778/481-5863
300000104,Anderson,Melissa,,Melissa,manderson@sfu.ca,"1884 Spruce Dr, Chilliwack BC VX5 0E7 Canada",778/318-9557
300000105,Moore,Jessica,,Jessica,jmoore@sfu.ca,"8303 Elm Street, Port Moody BC VY5 5D4 Canada",778/397-6228
300000106,Cook,George,,George,gcook@sfu.ca,"3197 Elm Street, Abbotsford BC VV8 0P6 Canada",778/979-4714
300000107,Scott,Paul,,Paul,pscott@sfu.ca,"3920 Elm Street, Vancouver BC VN2 2P8 Canada",778/523-1037
300000108,Brown,Susan,,Susan,sbrown@sfu.ca,"5051 Oak Dr, Chilliwack BC VU4 9N0 Canada",778/797-1848
300000109,Campbell,Karen,,Karen,kcampbell@sfu.ca,"3383 Spruce Dr, Vancouver BC VT4 2W7 Canada",778/630-9432
300000110,Torres,Sandra,,Sandra,storres@sfu.ca,"7183 Main St, Maple Ridge BC VU8 1K3 Canada",778/200-3020
300000111,Miller,Sandra,,Sandra,smiller@sfu.ca,"7129 Pine Rd, Abbotsford BC VW3 4P1 Canada",778/745-8769
300000112,Smith,Mark,,Mark,msmith@sfu.ca,"9182 Willow St, Brackendale BC VM6 5R3 Canada",778/639-4897
300000113,Miller,Sandra,,Sandra,smiller@sfu.ca,"6241 Spruce Dr, Langley BC VC7 3N3 Canada",778/222-4800
300000114,White,James,,James,jwhite@sfu.ca,"8695 Pine Rd, Brackendale BC VF6 4Q1 Canada",778/400-2704
300000115,Torres,Michael,,Michael,mtorres@sfu.ca,"2167 Willow St, Richmond BC VK8 9O4 Canada",778/665-7778
300000116,Reeves,Elizabeth,,Elizabeth,ereeves@sfu.ca,"6439 Oak Dr, Mission BC VM1 7R4 Canada",778/726-6068
300000117,Ramirez,Ashley,,Ashley,aramirez@sfu.ca,"6131 Willow St, Richmond BC VZ7 7A3 Canada",778/108-5857
300000118,Parker,Andrew,,Andrew,aparker@sfu.ca,"3419 Elm Street, New Westminster BC VS6 9D8 Canada",778/349-5358
300000119,Perez,Joseph,,Joseph,jperez@sfu.ca,"9750 Ash St, Coquitlam BC VV5 7E8 Canada",778/291-9176
300000120,Stewart,William,,William,wstewart@sfu.ca,"7257 Ash Ave, Coquitlam BC VQ0 7L8 Canada",778/130-2937
300000121,Clark,Michelle,,Michelle,mclark@sfu.ca,"2214 Pine Rd, Pitt Meadows BC VS5 9I2 Canada",778/922-9778
300000122,Jones,Charles,,Charles,cjones@sfu.ca,"4480 Willow St, Pitt Meadows BC VY5 2I8 Canada",778/946-1909
300000123,Young,Jessica,,Jessica,jyoung@sfu.ca,"330 Granville St, Burnaby BC VZ2 0E1 Canada",778/101-5217
300000124,Lee,Margaret,,Margaret,mlee@sfu.ca,"2681 Birch Ave, Burnaby BC VL1 1B8 Canada",778/735-9911
300000125,Murphy,Betty,,Betty,bmurphy@sfu.ca,"1327 Ash St, Richmond BC VZ0 8Z3 Canada",778/863-5273
300000126,Robinson,Paul,,Paul,probinson@sfu.ca,"9320 Kingsway, Mission BC VX8 6W0 Canada",778/795-5139
300000127,Rodriguez,Nancy,,Nancy,nrodriguez@sfu.ca,"3107 Cedar Ln, Coquitlam BC VE9 5Z0 Canada",778/693-5482
300000128,Sanchez,Michelle,,Michelle,msanchez@sfu.ca,"6070 Pine Rd, Pitt Meadows BC VE5 1I0 Canada",778/196-9530
300000129,Collins,Deborah,,Deborah,dcollins@sfu.ca,"8273 Oak Dr, Mission BC VT0 6S9 Canada",778/250-6701
300000130,Thomas,Linda,,Linda,lthomas@sfu.ca,"1974 Cedar Ln, Mission BC VK6 3Y9 Canada",778/894-1202
300000131,Hernandez,Christopher,,Christopher,chernandez@sfu.ca,"5265 University Crescent, Maple Ridge BC VS8 6C4 Canada",778/981-6247
300000132,Ramirez,Patricia,,Patricia,pramirez@sfu.ca,"8665 Ash Ave, Mission BC VY1 3S3 Canada",778/621-5750
300000133,Sanchez,Carol,,Carol,csanchez@sfu.ca,"6687 Maple Place, Richmond BC VS7 1Q2 Canada",778/713-9206
300000134,Perez,Amanda,,Amanda,aperez@sfu.ca,"1151 Maple Place, New Westminster BC VS4 1M9 Canada",778/696-9356
300000135,Davis,Jessica,,Jessica,jdavis@sfu.ca,"1896 University Crescent, Chilliwack BC VQ6 5L4 Canada",778/797-6286
300000136,Rodriguez,Kimberly,,Kimberly,krodriguez@sfu.ca,"3823 Cedar Ln, Chilliwack BC VY1 2C0 Canada",778/303-4032
300000137,Campbell,Joshua,,Joshua,jcampbell@sfu.ca,"2827 Broadway, Burnaby BC VX3 4F9 Canada",778/241-8053
300000138,Reeves,William,,William,wreeves@sfu.ca,"1702 Kingsway, Burnaby BC VZ9 1D4 Canada",778/665-1412
300000139,Torres,Jennifer,,Jennifer,jtorres@sfu.ca,"6098 Willow St, Coquitlam BC VZ7 4B4 Canada",778/130-7287
300000140,Reeves,Patricia,,Patricia,preeves@sfu.ca,"3352 Kingsway, Coquitlam BC VY8 0U3 Canada",778/206-2410
300000141,Murphy,Anthony,,Anthony,amurphy@sfu.ca,"4266 Pine Rd, New Westminster BC VU1 1V8 Canada",778/840-3308
300000142,Peterson,Carol,,Carol,cpeterson@sfu.ca,"3262 Willow St, Maple Ridge BC VH5 3Z5 Canada",778/197-9270
300000143,Williams,Donna,,Donna,dwilliams@sfu.ca,"1746 Cedar Ln, New Westminster BC VG5 7N9 Canada",778/534-4313
300000144,Campbell,Daniel,,Daniel,dcampbell@sfu.ca,"9911 Broadway, Abbotsford BC VI8 9Y0 Canada",778/751-1191
300000145,Scott,Steven,,Steven,sscott@sfu.ca,"5548 Cedar Ln, Surrey BC VR5 3Q2 Canada",778/212-1493
300000146,Taylor,Susan,,Susan,staylor@sfu.ca,"9621 Spruce Dr, Port Moody BC VI8 2C4 Canada",778/818-5226
300000147,Morris,Ashley,,Ashley,amorris@sfu.ca,"9961 Cedar Ln, Pitt Meadows BC VQ7 9M2 Canada",778/883-7673
300000148,Sanchez,Robert,,Robert,rsanchez@sfu.ca,"2663 Pine Rd, Brackendale BC VB9 7Q4 Canada",778/899-5927
300000149,Jones,Sarah,,Sarah,sjones@sfu.ca,"3959 Pine Rd, Abbotsford BC VI1 4G7 Canada",778/627-5790
300000150,Garcia,Daniel,,Daniel,dgarcia@sfu.ca,"6360 Ash St, Abbotsford BC VF8 4Z7 Canada",778/733-6573
300000151,Phillips,Robert,,Robert,rphillips@sfu.ca,"9365 Birch Ave, Burnaby BC VA5 7O0 Canada",778/935-2106
300000152,Thomas,John,,John,jthomas@sfu.ca,"1432 Ash Ave, Maple Ridge BC VY5 2D5 Canada",778/232-7929
300000153,Scott,Linda,,Linda,lscott@sfu.ca,"4847 Oak Dr, Coquitlam BC VY9 7R6 Canada",778/678-5693
300000154,Taylor,Ashley,,Ashley,ataylor@sfu.ca,"7127 University Crescent, Burnaby BC VZ5 3Z4 Canada",778/613-2363
300000155,Evans,Thomas,,Thomas,tevans@sfu.ca,"5084 123 Ave, Chilliwack BC VV2 5P3 Canada",778/608-7117
300000156,Collins,Deborah,,Deborah,dcollins@sfu.ca,"4779 123 Ave, Maple Ridge BC VV7 1S4 Canada",778/613-2531
300000157,Parker,Susan,,Susan,sparker@sfu.ca,"8086 Elm Street, Burnaby BC VC0 0I7 Canada",778/730-7377
300000158,Martinez,Michelle,,Michelle,mmartinez@sfu.ca,"2708 Maple Place, Richmond BC VQ3 2E8 Canada",778/566-7811
300000159,Brown,Ashley,,Ashley,abrown@sfu.ca,"6353 Willow St, Maple Ridge BC VW0 3L6 Canada",778/980-3296
300000160,Perez,Betty,,Betty,bperez@sfu.ca,"5438 Elm Street, Coquitlam BC VZ4 2V3 Canada",778/519-9707
300000161,Rodriguez,John,,John,jrodriguez@sfu.ca,"6142 Spruce Dr, Richmond BC VO2 0K9 Canada",778/340-3041
300000162,Moore,Christopher,,Christopher,cmoore@sfu.ca,"8565 University Crescent, Abbotsford BC VN9 8U8 Canada",778/178-2074
300000163,Young,Sandra,,Sandra,syoung@sfu.ca,"8730 Willow St, Langley BC VM4 2Q2 Canada",778/286-7671
300000164,Phillips,Thomas,,Thomas,tphillips@sfu.ca,"6367 Kingsway, Langley BC VV4 1V0 Canada",778/170-2298
300000165,Jackson,Susan,,Susan,sjackson@sfu.ca,"3451 Ash St, Burnaby BC VX1 8P9 Canada",778/156-2729
300000166,Morales,Amanda,,Amanda,amorales@sfu.ca,"7117 Ash Ave, Langley BC VX0 3A0 Canada",778/688-4979
300000167,Reeves,Matthew,,Matthew,mreeves@sfu.ca,"8935 Cedar Ln, Abbotsford BC VS1 6D8 Canada",778/713-9300
300000168,Clark,Stephanie,,Stephanie,sclark@sfu.ca,"3495 Cedar Ln, Surrey BC VZ1 8N6 Canada",778/900-1624
300000169,Morris,Mark,,Mark,mmorris@sfu.ca,"551 Birch Ave, Coquitlam BC VA6 1Q4 Canada",778/980-3352
300000170,Young,Anthony,,Anthony,ayoung@sfu.ca,"4284 Cedar Ln, Maple Ridge BC VE9 3Q9 Canada",778/519-4562
300000171,Moore,Joshua,,Joshua,jmoore@sfu.ca,"592 Granville St, New Westminster BC VZ2 6V3 Canada",778/468-7032
300000172,Brown,Andrew,,Andrew,abrown@sfu.ca,"8413 Elm Street, Surrey BC VU8 0F3 Canada",778/697-9355
300000173,Lee,Dorothy,,Dorothy,dlee@sfu.ca,"9449 University Crescent, Mission BC VK3 0B7 Canada",778/281-5786
300000174,Lewis,Joseph,,Joseph,jlewis@sfu.ca,"3366 Maple Place, Port Moody BC VY1 8C1 Canada",778/439-4430
300000175,Young,Anthony,,Anthony,ayoung@sfu.ca,"1933 Birch Ave, Abbotsford BC VD5 2Q2 Canada",778/992-3421
300000176,Lopez,Linda,,Linda,llopez@sfu.ca,"6117 Broadway, Langley BC VS3 2J7 Canada",778/612-7059
300000177,Robinson,Mary,,Mary,mrobinson@sfu.ca,"1807 123 Ave, Langley BC VE5 5Z4 Canada",778/892-1992
300000178,Parker,Andrew,,Andrew,aparker@sfu.ca,"3040 Elm Street, Chilliwack BC VV3 6T4 Canada",778/172-2071
300000179,Williams,Steven,,Steven,swilliams@sfu.ca,"6366 Maple Place, Mission BC VC6 3Y7 Canada",778/329-6585
300000180,Morris,Dorothy,,Dorothy,dmorris@sfu.ca,"6813 Willow St, Pitt Meadows BC VK9 1H3 Canada",778/577-8180
300000181,Brown,Donald,,Donald,dbrown@sfu.ca,"1877 Elm Street, Port Moody BC VV5 4X9 Canada",778/458-3490
300000182,Reeves,Sarah,,Sarah,sreeves@sfu.ca,"4641 Main St, New Westminster BC VL8 0P6 Canada",778/631-8732
300000183,Gonzalez,Jessica,,Jessica,jgonzalez@sfu.ca,"1513 Main St, Abbotsford BC VF0 0U4 Canada",778/662-2427
300000184,Allen,Brian,,Brian,ballen@sfu.ca,"714 Pine Rd, Brackendale BC VP5 5O4 Canada",778/726-3936
300000185,Jackson,Donna,,Donna,djackson@sfu.ca,"8553 Spruce Dr, New Westminster BC VA4 8G2 Canada",778/246-2158
300000186,Torres,Donald,,Donald,dtorres@sfu.ca,"1371 Oak Dr, Abbotsford BC VF9 1W0 Canada",778/964-6151
300000187,Robinson,Donald,,Donald,drobinson@sfu.ca,"8397 Maple Place, Brackendale BC VT9 2N6 Canada",778/751-7105
300000188,Garcia,Robert,,Robert,rgarcia@sfu.ca,"891 Ash St, Vancouver BC VH5 7B5 Canada",778/827-5520
300000189,Williams,Robert,,Robert,rwilliams@sfu.ca,"1216 University Crescent, Port Moody BC VB5 9T1 Canada",778/756-6780
300000190,Lee,Sarah,,Sarah,slee@sfu.ca,"9661 Elm Street, Abbotsford BC VL8 4D6 Canada",778/680-6915
300000191,Moore,Elizabeth,,Elizabeth,emoore@sfu.ca,"1051 Maple Place, Coquitlam BC VD5 2D2 Canada",778/408-4104
300000192,Smith,Joseph,,Joseph,jsmith@sfu.ca,"9912 Main St, Port Moody BC VD1 3E6 Canada",778/886-2028
300000193,Thomas,Sandra,,Sandra,sthomas@sfu.ca,"3422 Birch Ave, Surrey BC VK0 5O7 Canada",778/790-8224
300000194,Jackson,Christopher,,Christopher,cjackson@sfu.ca,"1624 Broadway, Abbotsford BC VB3 7M8 Canada",778/847-8269
300000195,Phillips,David,,David,dphillips@sfu.ca,"4870 Broadway, Brackendale BC VT8 6G0 Canada",778/689-1500
300000196,Williams,Ashley,,Ashley,awilliams@sfu.ca,"1497 Broadway, Port Moody BC VI7 9C7 Canada",778/972-6619
300000197,Davis,Matthew,,Matthew,mdavis@sfu.ca,"9531 Pine Rd, Maple Ridge BC VN6 0X6 Canada",778/959-6977
300000198,Lopez,Betty,,Betty,blopez@sfu.ca,"154 123 Ave, Mission BC VL3 0R3 Canada",778/141-1797
300000199,Miller,Edward,,Edward,emiller@sfu.ca,"7910 Ash Ave, Mission BC VX1 4O3 Canada",778/902-7807
300000200,Davis,George,,George,gdavis@sfu.ca,"9155 Ash St, Pitt Meadows BC VK8 8X3 Canada",778/646-4085
300000201,Wilson,Anthony,,Anthony,awilson@sfu.ca,"479 Pine Rd, Coquitlam BC VQ7 2M9 Canada",778/718-3256
300000202,Miller,Sarah,,Sarah,smiller@sfu.ca,"4238 Granville St, Abbotsford BC VO0 9G4 Canada",778/387-4178
300000203,Williams,Kimberly,,Kimberly,kwilliams@sfu.ca,"3550 Kingsway, Maple Ridge BC VZ5 7X5 Canada",778/572-5638
300000204,Ramirez,Carol,,Carol,cramirez@sfu.ca,"401 Granville St, Abbotsford BC VN8 0Q7 Canada",778/728-6737
300000205,Wilson,Kevin,,Kevin,kwilson@sfu.ca,"6550 Maple Place, Abbotsford BC VH3 3N5 Canada",778/972-9283
300000206,Stewart,Nancy,,Nancy,nstewart@sfu.ca,"8511 Maple Place, Brackendale BC VH8 1S7 Canada",778/350-4457
